industry_id,num_firms,dividends,buybacks,equity_issuance,net_equity_change_usd,net_equity_change_pct_book_equity,debt_repaid,debt_raised,net_debt_change_usd,net_debt_change_pct_total_debt,change_in_lease_debt,vintage_id,region_id
1,52,571.1,2180.389,1996.0409999999997,-184.3480000000004,-0.022228819328804217,8884.048999999997,6551.981000000001,-2332.0679999999966,-0.11382996700296273,76.78500000000076,1,1
2,79,12526.490999999998,19594.045000000002,28024.845999999994,8430.800999999992,0.051539576867631116,37065.82999999999,36062.20400000001,-1003.6259999999747,-0.004289685964782441,474.84000000000015,1,1
3,23,812.0,4370.741000000001,1460.953,-2909.788000000001,-0.06718078720378273,26694.381999999998,12603.38,-14091.001999999999,-0.14645186093404697,15367.833999999973,1,1
4,35,1218.6199999999997,4943.835999999999,270.52900000000005,-4673.306999999999,-0.20018631139421775,13819.924000000003,8589.157000000001,-5230.767000000002,-0.33108027107890403,831.9900000000016,1,1
5,33,3743.2,8775.757000000001,4917.915000000001,-3857.8420000000006,-0.01898573676251043,107264.333,113946.81199999999,6682.478999999992,0.021039602701786255,4467.889000000003,1,1
6,35,693.9300000000001,1657.2030000000002,612.545,-1044.6580000000004,-0.035854827244998166,4667.413,4257.478999999999,-409.9340000000002,-0.019717134769892137,341.15799999999854,1,1
7,15,40401.779,79296.0,2109.0,-77187.0,-0.06906685168724197,396960.0,780459.0,383499.0,0.11568485264441332,0.0,1,1
8,568,18200.19977999999,12736.650000000001,4195.369000000001,-8541.281,-0.016520241717168198,277926.0659999995,256199.89199999988,-21726.17399999965,-0.06441748672589583,0.0,1,1
9,14,1538.0,2180.8049999999994,48.599999999999994,-2132.2049999999995,-0.07892671614955203,2497.6059999999993,848.0210000000001,-1649.5849999999991,-0.08329633288296547,-248.51399999999967,1,1
10,27,17711.0,2929.1899999999996,544.3779999999999,-2384.812,-0.03025046633469712,19939.769000000004,25974.624,6034.854999999996,0.04737595362392671,804.4500000000044,1,1
11,24,894.77,1535.5780000000002,87.178,-1448.4,-0.03924074841242805,13383.263,10032.217,-3351.0460000000003,-0.07235261924113659,114.0,1,1
12,32,14207.813999999998,28530.98499999999,2149.8369999999995,-26381.14799999999,-0.09109982085747724,278790.783,303224.36400000006,24433.581000000064,0.01780010722661338,1.69,1,1
13,41,2369.8299999999995,9950.909999999996,370.648,-9580.261999999997,-0.16526041603775693,15123.981000000002,15768.030999999999,644.0499999999975,0.012849472534190056,1319.612000000001,1,1
14,155,8076.907899999999,13960.91,1102.7200000000005,-12858.189999999999,-0.12341236224423399,55266.626,67168.08900000002,11901.463000000025,0.11460816716622164,1322.0609999999906,1,1
