industry_id,num_firms,dataset_code,vintage_id,region_id
52,73,finflows,1,1
53,14,finflows,1,1
54,4,finflows,1,1
55,142,finflows,1,1
56,23,finflows,1,1
57,97,finflows,1,1
58,19,finflows,1,1
59,6,finflows,1,1
60,46,finflows,1,1
61,56,finflows,1,1
62,19,finflows,1,1
63,190,finflows,1,1
64,14,finflows,1,1
65,12,finflows,1,1
66,54,finflows,1,1
67,49,finflows,1,1
68,1,finflows,1,1
69,64,finflows,1,1
70,34,finflows,1,1
71,14,finflows,1,1
72,62,finflows,1,1
73,23,finflows,1,1
74,15,finflows,1,1
75,26,finflows,1,1
76,94,finflows,1,1
77,3,finflows,1,1
78,66,finflows,1,1
79,31,finflows,1,1
80,8,finflows,1,1
81,11,finflows,1,1
82,77,finflows,1,1
83,29,finflows,1,1
84,309,finflows,1,1
85,19,finflows,1,1
86,12,finflows,1,1
87,57,finflows,1,1
88,39,finflows,1,1
89,10,finflows,1,1
90,19,finflows,1,1
91,4,finflows,1,1
92,26,finflows,1,1
93,14,finflows,1,1
94,14,finflows,1,1
1,52,multiples_ps,1,1
2,79,multiples_ps,1,1
3,23,multiples_ps,1,1
4,35,multiples_ps,1,1
5,33,multiples_ps,1,1
6,35,multiples_ps,1,1
7,15,multiples_ps,1,1
8,568,multiples_ps,1,1
9,14,multiples_ps,1,1
10,27,multiples_ps,1,1
11,24,multiples_ps,1,1
12,32,multiples_ps,1,1
13,41,multiples_ps,1,1
14,155,multiples_ps,1,1
15,9,multiples_ps,1,1
16,29,multiples_ps,1,1
17,4,multiples_ps,1,1
18,59,multiples_ps,1,1
19,16,multiples_ps,1,1
20,64,multiples_ps,1,1
21,36,multiples_ps,1,1
22,40,multiples_ps,1,1
23,20,multiples_ps,1,1
24,496,multiples_ps,1,1
25,228,multiples_ps,1,1
26,32,multiples_ps,1,1
27,112,multiples_ps,1,1
28,8,multiples_ps,1,1
29,114,multiples_ps,1,1
30,48,multiples_ps,1,1
31,92,multiples_ps,1,1
32,53,multiples_ps,1,1
33,35,multiples_ps,1,1
34,176,multiples_ps,1,1
35,78,multiples_ps,1,1
36,13,multiples_ps,1,1
37,27,multiples_ps,1,1
38,15,multiples_ps,1,1
40,204,multiples_ps,1,1
41,104,multiples_ps,1,1
39,115,multiples_ps,1,1
42,30,multiples_ps,1,1
43,31,multiples_ps,1,1
44,63,multiples_ps,1,1
45,110,multiples_ps,1,1
46,15,multiples_ps,1,1
47,21,multiples_ps,1,1
48,20,multiples_ps,1,1
49,57,multiples_ps,1,1
50,283,multiples_ps,1,1
51,105,multiples_ps,1,1
52,73,multiples_ps,1,1
53,14,multiples_ps,1,1
54,4,multiples_ps,1,1
55,142,multiples_ps,1,1
56,23,multiples_ps,1,1
57,97,multiples_ps,1,1
58,19,multiples_ps,1,1
59,6,multiples_ps,1,1
60,46,multiples_ps,1,1
61,56,multiples_ps,1,1
62,19,multiples_ps,1,1
63,190,multiples_ps,1,1
64,14,multiples_ps,1,1
65,12,multiples_ps,1,1
66,54,multiples_ps,1,1
67,49,multiples_ps,1,1
68,1,multiples_ps,1,1
69,64,multiples_ps,1,1
70,34,multiples_ps,1,1
71,14,multiples_ps,1,1
72,62,multiples_ps,1,1
73,23,multiples_ps,1,1
74,15,multiples_ps,1,1
75,26,multiples_ps,1,1
76,94,multiples_ps,1,1
77,3,multiples_ps,1,1
78,66,multiples_ps,1,1
79,31,multiples_ps,1,1
80,8,multiples_ps,1,1
81,11,multiples_ps,1,1
82,77,multiples_ps,1,1
83,29,multiples_ps,1,1
84,309,multiples_ps,1,1
85,19,multiples_ps,1,1
86,12,multiples_ps,1,1
87,57,multiples_ps,1,1
88,39,multiples_ps,1,1
89,10,multiples_ps,1,1
90,19,multiples_ps,1,1
91,4,multiples_ps,1,1
92,26,multiples_ps,1,1
93,14,multiples_ps,1,1
94,14,multiples_ps,1,1
1,52,multiples_pe,1,1
2,79,multiples_pe,1,1
3,23,multiples_pe,1,1
4,35,multiples_pe,1,1
5,33,multiples_pe,1,1
6,35,multiples_pe,1,1
7,15,multiples_pe,1,1
8,568,multiples_pe,1,1
9,14,multiples_pe,1,1
10,27,multiples_pe,1,1
11,24,multiples_pe,1,1
12,32,multiples_pe,1,1
13,41,multiples_pe,1,1
14,155,multiples_pe,1,1
15,9,multiples_pe,1,1
16,29,multiples_pe,1,1
17,4,multiples_pe,1,1
18,59,multiples_pe,1,1
19,16,multiples_pe,1,1
20,64,multiples_pe,1,1
21,36,multiples_pe,1,1
22,40,multiples_pe,1,1
23,20,multiples_pe,1,1
24,496,multiples_pe,1,1
25,228,multiples_pe,1,1
26,32,multiples_pe,1,1
27,112,multiples_pe,1,1
28,8,multiples_pe,1,1
29,114,multiples_pe,1,1
30,48,multiples_pe,1,1
31,92,multiples_pe,1,1
32,53,multiples_pe,1,1
33,35,multiples_pe,1,1
34,176,multiples_pe,1,1
35,78,multiples_pe,1,1
36,13,multiples_pe,1,1
37,27,multiples_pe,1,1
38,15,multiples_pe,1,1
40,204,multiples_pe,1,1
41,104,multiples_pe,1,1
39,115,multiples_pe,1,1
42,30,multiples_pe,1,1
43,31,multiples_pe,1,1
44,63,multiples_pe,1,1
45,110,multiples_pe,1,1
46,15,multiples_pe,1,1
47,21,multiples_pe,1,1
48,20,multiples_pe,1,1
49,57,multiples_pe,1,1
50,283,multiples_pe,1,1
51,105,multiples_pe,1,1
52,73,multiples_pe,1,1
53,14,multiples_pe,1,1
54,4,multiples_pe,1,1
55,142,multiples_pe,1,1
56,23,multiples_pe,1,1
57,97,multiples_pe,1,1
58,19,multiples_pe,1,1
59,6,multiples_pe,1,1
60,46,multiples_pe,1,1
61,56,multiples_pe,1,1
62,19,multiples_pe,1,1
63,190,multiples_pe,1,1
64,14,multiples_pe,1,1
65,12,multiples_pe,1,1
66,54,multiples_pe,1,1
67,49,multiples_pe,1,1
68,1,multiples_pe,1,1
69,64,multiples_pe,1,1
70,34,multiples_pe,1,1
71,14,multiples_pe,1,1
72,62,multiples_pe,1,1
73,23,multiples_pe,1,1
74,15,multiples_pe,1,1
75,26,multiples_pe,1,1
76,94,multiples_pe,1,1
77,3,multiples_pe,1,1
78,66,multiples_pe,1,1
79,31,multiples_pe,1,1
80,8,multiples_pe,1,1
81,11,multiples_pe,1,1
82,77,multiples_pe,1,1
83,29,multiples_pe,1,1
84,309,multiples_pe,1,1
85,19,multiples_pe,1,1
86,12,multiples_pe,1,1
87,57,multiples_pe,1,1
88,39,multiples_pe,1,1
89,10,multiples_pe,1,1
90,19,multiples_pe,1,1
91,4,multiples_pe,1,1
92,26,multiples_pe,1,1
93,14,multiples_pe,1,1
94,14,multiples_pe,1,1
1,52,dividends_fcfe,1,1
2,79,dividends_fcfe,1,1
3,23,dividends_fcfe,1,1
4,35,dividends_fcfe,1,1
5,33,dividends_fcfe,1,1
6,35,dividends_fcfe,1,1
7,15,dividends_fcfe,1,1
8,568,dividends_fcfe,1,1
9,14,dividends_fcfe,1,1
10,27,dividends_fcfe,1,1
11,24,dividends_fcfe,1,1
12,32,dividends_fcfe,1,1
13,41,dividends_fcfe,1,1
14,155,dividends_fcfe,1,1
15,9,dividends_fcfe,1,1
16,29,dividends_fcfe,1,1
17,4,dividends_fcfe,1,1
18,59,dividends_fcfe,1,1
19,16,dividends_fcfe,1,1
20,64,dividends_fcfe,1,1
21,36,dividends_fcfe,1,1
22,40,dividends_fcfe,1,1
23,20,dividends_fcfe,1,1
24,496,dividends_fcfe,1,1
25,228,dividends_fcfe,1,1
26,32,dividends_fcfe,1,1
27,112,dividends_fcfe,1,1
28,8,dividends_fcfe,1,1
29,114,dividends_fcfe,1,1
30,48,dividends_fcfe,1,1
31,92,dividends_fcfe,1,1
32,53,dividends_fcfe,1,1
33,35,dividends_fcfe,1,1
34,176,dividends_fcfe,1,1
